open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1783504800000,62031.80,62164.70,61876.00,62149.80,5056.481,1783508399999,313681188.87830,106505,2658.427,164936144.71430,0
1783508400000,62149.90,62366.00,62025.20,62270.00,5367.666,1783511999999,333907930.20070,127866,2762.036,171838070.49080,0
1783512000000,62270.00,62394.10,61933.00,61933.90,5991.213,1783515599999,372465889.40820,129510,2597.105,161489790.03350,0
1783515600000,61933.90,62073.60,61615.00,61923.00,12545.108,1783519199999,775902020.24110,285917,6147.518,380268470.43560,0
1783519200000,61922.90,62151.90,61686.70,61865.50,10860.112,1783522799999,672644807.34770,317922,5675.720,351615108.70820,0
1783522800000,61865.60,61900.50,61520.00,61674.50,9713.099,1783526399999,598816315.77890,226207,4601.061,283697040.72930,0
1783526400000,61674.60,62129.80,61666.00,62086.40,7113.853,1783529999999,440344735.27620,181362,3915.875,242409142.50080,0
1783530000000,62086.30,62372.70,62005.20,62086.50,6899.963,1783533599999,429203915.90640,143503,3781.376,235227681.47820,0
1783533600000,62086.40,62331.00,62014.10,62158.80,3724.733,1783537199999,231590779.80550,122641,1905.597,118491288.02490,0
1783537200000,62158.90,62270.40,62043.00,62251.90,2519.071,1783540799999,156607497.87490,100097,1229.108,76415054.75190,0
1783540800000,62251.90,62287.10,62051.20,62076.20,2354.879,1783544399999,146393782.74190,73568,998.299,62060008.28720,0
1783544400000,62076.20,62226.40,61926.90,62162.40,4462.192,1783547999999,276952429.83090,105446,2065.152,128191674.77930,0
1783548000000,62162.40,62331.80,62144.40,62303.50,2226.252,1783551599999,138570556.42640,69257,1175.735,73190150.52820,0
1783551600000,62303.50,62320.60,62139.30,62255.30,1922.822,1783555199999,119665700.73520,62133,917.592,57114073.43610,0
1783555200000,62255.10,62284.40,62025.40,62101.80,3023.797,1783558799999,187920578.35080,101766,1431.198,88943322.48440,0
1783558800000,62101.80,62620.20,61796.10,61882.20,10363.949,1783562399999,645081589.10170,241238,4932.865,307248841.40500,0
1783562400000,61882.20,62098.00,61666.00,61753.70,4989.881,1783565999999,308759332.20740,151301,2336.858,144631468.69720,0
